t-SNE Coordinate 1,t-SNE Coordinate 2,sigma
5.3046501893,-4.9780765929,2886.6875
-1.5937536791,-2.3348666251,2194.59375
1.2529021403,-4.4309621664,3791.375
26.6883068231,0.317066678,2524.84375
-11.2655112889,-7.7676433352,3044.78125
-13.1364450142,-11.4731109008,1685.5
15.2901407545,1.3746519021,2165.359375
8.429584962,9.6560640155,3000.125
-12.3190892699,-28.1733424423,68.3955078125
-8.3857681438,-3.9902067504,3209
-17.4694036247,-3.7131530098,2257.25
-11.7897577911,8.3617747651,1915.140625
21.8214587119,-14.8374289298,2107.015625
14.2143776515,13.8562225929,952.53515625
-5.5150595906,15.4940844517,2046.5625
-21.9300052645,8.4621461629,1125.171875
-14.8414927806,-7.4052628979,2488.28125
-7.3241547316,10.932138696,1432.9375
15.9642145819,13.9799960072,1750.671875
-8.3429764818,16.9469681586,1649.125
10.2225779974,1.7855329727,2231.0625
-13.38393934,-8.2506072558,2578.375
-12.6678641307,-1.3344857992,3207.40625
0.1916030554,9.7566063634,1894.015625
5.4373470846,1.1890918147,3621.21875
11.1786402298,15.8439753803,2211.84375
4.2352727084,-12.6087791572,1812.71875
-1.2081018905,18.0668062985,2162.59375
18.2097676451,-13.5382069114,2133.8125
27.9534893043,7.4464913754,1689.6875
-5.8821676654,3.2669403343,2080.6640625
-21.7567810068,6.4709771483,1697.265625
17.9421134123,-9.2248804537,1296.421875
12.963595674,-16.8016427215,1811.75
10.6465128595,11.901290259,3789.6875
29.4106331295,0.9740496244,1927.046875
-6.1047698569,-10.5121479116,2236.125
7.3241439664,-6.7458548546,3454.125
-8.9092704063,9.8406821962,1109.5234375
-7.738668943,-13.2834475941,1888.359375
8.3650340428,24.3518189776,21.8295288086
-11.9023017439,-29.0704126423,94.19140625
-37.0554890284,-22.8289806302,41.6337890625
-13.9734066473,8.7252865168,3254.1875
-19.2766996082,7.2571564123,1333.3515625
4.4930424477,-25.0588462279,478.72265625
20.0511429461,-13.8325402156,2685.125
5.8070679333,16.2551994125,2157
-0.3173045871,12.2714399402,2855.875
26.50904201,4.6992463489,2104.609375
1.4919452276,-1.338605904,3071.25
2.1478100586,-24.1445858597,2109.125
20.7456349461,5.3452783175,1663.90625
6.9787561849,-29.8615474906,36.1043701172
12.135491308,6.9765796395,2776.625
21.1312836787,-4.0374176792,2249.140625
15.8691695798,10.7635045208,2163.65625
11.369688686,5.7108567736,2049.921875
19.7791778135,1.5478432582,1987.8125
26.3543197327,-2.0431073791,1334.765625
12.7041884546,-8.8337021554,2096.21875
-13.8990069004,-2.2861709696,2248.625
-17.9617026058,11.5696199274,2336.71875
-0.2912357944,4.3474706796,2322.03125
-9.7668008037,2.4003049405,1915.9375
20.2346584842,3.1799583476,2561.671875
6.7256974351,-10.6779618366,2853.34375
-2.881177276,-0.5239263442,222.9672851563
-10.1472245319,6.6580397298,1972.40625
-14.9569235811,-2.6296142466,2441
19.488619609,-7.4218324724,1520.484375
-17.6999801099,7.9661789991,1815.28125
-10.2009774749,-0.2142800121,3014.78125
-24.0831873798,9.4157402661,882.28125
-17.199500091,-0.3493342724,2368.828125
26.995703818,6.8768250551,1511.53125
12.6672711011,-4.4111826567,1967.921875
-25.2128176669,5.5914411465,1121.046875
-12.1591378893,-7.7571639055,2572.515625
3.5745564386,-6.6960637615,2711.828125
-21.1402959562,9.8860398085,1569.515625
22.5439943922,0.167924002,2690.734375
-9.6994204216,12.9131649998,1834.90625
-16.2904666463,-11.7894221838,1823.609375
3.9198424568,-29.0139082955,43.0305175781
-7.8484324603,20.1246361192,871.421875
-22.6951919438,-2.093001528,1546.09375
25.2849611682,2.2289900304,1478.96875
9.3779549839,-15.2864137904,2348.546875
-20.2163898979,9.2072129349,1786.5
-12.537597934,9.2333794243,1391.796875
32.9920055502,3.3140784124,1040.40625
26.235004481,12.805298945,1639.5
-0.2137530146,7.7756032487,2896.078125
25.3758102534,-4.9220741697,1630.3125
-16.1600851608,11.7981827269,2409.96875
-25.1592702404,36.8442637843,30.1868896484
-12.4245687725,-27.4217417456,100.955078125
-20.2636297047,-4.9816086979,1184.859375
17.5823057919,6.1568905549,1987.53125
-3.6708574035,-6.6939187996,2986.859375
12.2587892374,-9.5871869907,2784.125
-7.0020990135,21.4902416246,502.72265625
-3.9037847814,-9.7595390065,2306.375
8.9819565084,-29.1564848416,20.9723510742
-4.4175463352,18.7458909117,2400.640625
-10.1337558296,-15.6545792629,759.2109375
10.6572831068,1.9981193301,2249.2578125
14.3804850259,5.1850565097,2158.484375
-1.5969935734,7.7933568876,2581.96875
25.2715687516,5.9570091227,2156.296875
-0.3470904846,13.8920793546,3466.15625
7.9227436123,1.3560681551,3042.53125
-25.6955225902,36.9599247396,31.3209228516
2.2557333343,2.7445436331,3370.625
7.7420896476,8.5218086078,3666.46875
-16.9236303967,6.9608373492,1917.125
5.3013545896,-31.2628378858,33.2849731445
-11.4632929469,7.9454579047,1552.359375
3.755966064,12.8238447963,2146.65625
22.2487848339,0.9895019023,2206.6875
-14.8067157817,12.7059600154,2400.0625
-12.802980256,12.3442621105,1938.2890625
-10.788683434,15.7311858801,1340.546875
-21.2617402603,4.4075515412,2184.78125
7.7071918275,-30.8912253226,25.8853759766
23.3184414251,4.5718873806,1501.40625
31.9263261112,5.1505278552,942.25
-5.0547064477,10.8832551435,2138.5625
7.5905109287,15.8366470589,1470.578125
15.6582809793,-7.2006600028,3536.6875
23.3358479002,-3.1163371192,1294.359375
9.2100457283,-1.2065589852,2965.65625
18.2398208084,3.2416365659,2917.875
